Food_code,Main_food_description,FII,FII score,,
11480010,"Yogurt, whole milk, baby food",-0.04361498,4.30878846,,
11480020,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",-0.11619092,5.76744007,,
11480030,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",-0.14514854,6.3494383,,
11480040,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",-0.11619092,5.76744007,,
11480100,"Baby Toddler yogurt, with fruit",-0.04382405,4.31299037,,
11511000,"Chocolate milk, NFS",-0.10551258,5.55282364,,
11511100,"Chocolate milk, ready to drink, whole",-0.09215023,5.28426349,,
11511200,"Chocolate milk, ready to drink, reduced fat",-0.10365142,5.51541752,,
11511300,"Chocolate milk, ready to drink, fat free",-0.10551258,5.55282364,,
11511400,"Chocolate milk, ready to drink, low fat",-0.11170783,5.67733761,,
11511550,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",-0.12774555,5.99966815,,
11511600,"Chocolate milk, ready to drink, low fat (Nesquik)",-0.11170783,5.67733761,,
11511610,"Chocolate milk, ready to drink, fat free (Nesquik)",-0.10551258,5.55282364,,
11511700,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",-0.11170783,5.67733761,,
11512010,"Hot chocolate / Cocoa, ready to drink",-0.09806958,5.40323228,,
11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",-0.12049096,5.85386341,,
11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",-1.73161413,38.2346681,,
11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream",-0.08578022,5.15623726,,
11512110,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",-0.10775038,5.59779973,,
11512120,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",-1.71665401,37.9339953,,
11513000,"Chocolate milk, made from dry mix, NS as to type of milk",-0.10945715,5.63210277,,
11513100,"Chocolate milk, made from dry mix with whole milk",-0.11317313,5.70678762,,
11513150,"Chocolate milk, made from dry mix with reduced fat milk",-0.0984948,5.41177847,,
11513200,"Chocolate milk, made from dry mix with low fat milk",-0.11128904,5.66892063,,
11513300,"Chocolate milk, made from dry mix with fat free milk",-0.12428663,5.93014977,,
11513310,"Chocolate milk, made from dry mix with non-dairy milk",-1.99169627,43.4618717,,
11513350,"Chocolate milk, made from reduced sugar mix, NS as to type of milk",-0.17259722,6.90110958,,
11513355,"Chocolate milk, made from reduced sugar mix with whole milk",-0.17521112,6.95364457,,
11513360,"Chocolate milk, made from reduced sugar mix with reduced fat milk",-0.15941252,6.63611989,,
11513365,"Chocolate milk, made from reduced sugar mix with low fat milk",-0.17360847,6.92143406,,
11513370,"Chocolate milk, made from reduced sugar mix with fat free milk",-0.18685201,7.18760632,,
11513375,"Chocolate milk, made from reduced sugar mix with non-dairy milk",-2.08439524,45.3249616,,
11513380,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",-0.10945715,5.63210277,,
11513381,"Chocolate milk, made from dry mix with whole milk (Nesquik)",-0.11317313,5.70678762,,
11513382,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",-0.0984948,5.41177847,,
11513383,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",-0.11128904,5.66892063,,
11513384,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",-0.12428663,5.93014977,,
11513385,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",-1.99169627,43.4618717,,
11513390,"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",-0.17259722,6.90110958,,
11513391,"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",-0.17521112,6.95364457,,
11513392,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",-0.15941252,6.63611989,,
11513393,"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",-0.17360847,6.92143406,,
11513394,"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",-0.18685201,7.18760632,,
11513395,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",-2.08439524,45.3249616,,
11513400,"Chocolate milk, made from syrup, NS as to type of milk",-0.09603648,5.36237045,,
11513500,"Chocolate milk, made from syrup with whole milk",-0.0975242,5.392271,,
11513550,"Chocolate milk, made from syrup with reduced fat milk",-0.08462233,5.13296564,,
11513600,"Chocolate milk, made from syrup with low fat milk",-0.09634218,5.36851439,,
11513700,"Chocolate milk, made from syrup with fat free milk",-0.1088674,5.62024977,,
11513750,"Chocolate milk, made from syrup with non-dairy milk",-1.82888236,40.1895922,,
11513800,"Chocolate milk, made from light syrup, NS as to type of milk",-0.08415246,5.12352198,,
